scrape_date,title,price,brand,category,variant
2025-01-06 18:10:46,Microsoft Xbox One S - 500GB weiß,317.62,Microsoft,Konsolen/Xbox,wie neu
2025-01-06 18:10:46,Microsoft Xbox Series S - 1TB carbon black,376.51,Microsoft,Konsolen,neu
2025-01-06 18:10:46,Microsoft Xbox Series S - 512GB weiß,369.91,Microsoft,Konsolen,neu
2025-01-06 18:10:46,Microsoft Xbox One S - 500GB weiß,373.28,Microsoft,Konsolen/Xbox,sehr gut
2025-01-06 18:10:46,Microsoft Xbox Series S - 512GB weiß,428.93,Microsoft,Konsolen,wie neu
2025-01-06 18:10:46,Microsoft Xbox Series S - 1TB carbon black,378.46,Microsoft,Konsolen,wie neu
2025-01-06 18:10:46,Microsoft Xbox Series X - 1TB schwarz,340.81,Microsoft,Konsolen,gut
2025-01-06 18:10:46,Microsoft Xbox Series X - 1TB schwarz,415.54,Microsoft,Konsolen,sehr gut
2025-01-06 18:10:46,Microsoft Xbox One S - 500GB weiß,484.26,Microsoft,Konsolen/Xbox,sehr gut
2025-01-06 18:10:46,Microsoft Xbox Series S - 1TB carbon black,377.65,Microsoft,Konsolen,neu
2025-01-06 18:10:46,Microsoft Xbox Series S - 1TB carbon black,155.81,Microsoft,Konsolen,gut
2025-01-06 18:10:46,Microsoft Xbox Series S - 1TB carbon black,352.04,Microsoft,Konsolen,wie neu
2025-01-06 18:10:46,Microsoft Xbox Series X - 1TB schwarz,588.88,Microsoft,Konsolen,neu
2025-01-06 18:10:46,Microsoft Xbox Series X - 1TB schwarz,346.06,Microsoft,Konsolen,gut
2025-01-06 18:10:46,Microsoft Xbox One S - 500GB weiß,462.85,Microsoft,Konsolen/Xbox,sehr gut
2025-01-06 18:10:46,Microsoft Xbox Series S - 512GB weiß,392.87,Microsoft,Konsolen,wie neu
2025-01-06 18:10:46,Microsoft Xbox Series S - 512GB weiß,369.91,Microsoft,Konsolen,neu
2025-01-06 18:10:46,Microsoft Xbox Series S - 1TB carbon black,413.44,Microsoft,Konsolen,neu
2025-01-06 18:10:46,Microsoft Xbox Series X - 1TB schwarz,473.91,Microsoft,Konsolen,wie neu
2025-01-06 18:10:46,Microsoft Xbox Series X - 1TB schwarz,341.66,Microsoft,Konsolen,gut
2025-01-06 18:10:46,Microsoft Xbox Series X - 1TB schwarz,583.62,Microsoft,Konsolen,neu
2025-01-06 18:10:46,Microsoft Xbox One S - 500GB weiß,341.07,Microsoft,Konsolen/Xbox,gut
2025-01-06 18:10:46,Microsoft Xbox Series S - 512GB weiß,170.17,Microsoft,Konsolen,gut
2025-01-06 18:10:46,Microsoft Xbox Series X - 1TB schwarz,388.31,Microsoft,Konsolen,neu
2025-01-06 18:10:46,Microsoft Xbox Series S - 512GB weiß,456.78,Microsoft,Konsolen,wie neu
2025-01-06 18:10:46,Microsoft Xbox Series S - 1TB carbon black,598.97,Microsoft,Konsolen,neu
2025-01-06 18:10:46,Microsoft Xbox Series S - 512GB weiß,491.06,Microsoft,Konsolen,sehr gut
2025-01-06 18:10:46,Microsoft Xbox One S - 500GB weiß,497.94,Microsoft,Konsolen/Xbox,wie neu
2025-01-06 18:10:46,Microsoft Xbox Series S - 1TB carbon black,547.82,Microsoft,Konsolen,neu
2025-01-06 18:10:46,Microsoft Xbox Series S - 512GB weiß,406.73,Microsoft,Konsolen,sehr gut
2025-01-06 18:10:46,Microsoft Xbox Series S - 512GB weiß,377.61,Microsoft,Konsolen,gut
2025-01-06 18:10:46,Microsoft Xbox Series S - 512GB weiß,500.76,Microsoft,Konsolen,neu
2025-01-06 18:10:46,Microsoft Xbox Series S - 1TB carbon black,512.88,Microsoft,Konsolen,wie neu
2025-01-06 18:10:46,Microsoft Xbox Series S - 1TB carbon black,507.16,Microsoft,Konsolen,neu
2025-01-06 18:10:46,Microsoft Xbox Series X - 1TB schwarz,340.49,Microsoft,Konsolen,sehr gut
2025-01-06 18:10:46,Microsoft Xbox Series X - 1TB schwarz,438.9,Microsoft,Konsolen,neu
2025-01-06 18:10:46,Microsoft Xbox Series S - 1TB carbon black,542.27,Microsoft,Konsolen,neu
2025-01-06 18:10:46,Microsoft Xbox Series S - 512GB weiß,335.37,Microsoft,Konsolen,sehr gut
2025-01-06 18:10:46,Microsoft Xbox Series X - 1TB schwarz,433.4,Microsoft,Konsolen,neu
2025-01-06 18:10:46,Microsoft Xbox One S - 500GB weiß,411.65,Microsoft,Konsolen/Xbox,wie neu
2025-01-06 18:10:46,Microsoft Xbox Series S - 1TB carbon black,544.41,Microsoft,Konsolen,neu
2025-01-06 18:10:46,Microsoft Xbox Series X - 1TB schwarz,583.54,Microsoft,Konsolen,neu
2025-01-06 18:10:46,Microsoft Xbox One S - 500GB weiß,484.26,Microsoft,Konsolen/Xbox,sehr gut
2025-01-06 18:10:46,Microsoft Xbox Series S - 512GB weiß,378.46,Microsoft,Konsolen,wie neu
2025-01-06 18:10:46,Microsoft Xbox Series S - 512GB weiß,322.48,Microsoft,Konsolen,wie neu
2025-01-06 18:10:46,Microsoft Xbox Series S - 1TB carbon black,438.21,Microsoft,Konsolen,sehr gut
2025-01-06 18:10:46,Microsoft Xbox Series X - 1TB schwarz,512.97,Microsoft,Konsolen,neu
2025-01-06 18:10:46,Microsoft Xbox Series S - 512GB weiß,488.69,Microsoft,Konsolen,sehr gut
2025-01-06 18:10:46,Microsoft Xbox Series S - 1TB carbon black,565.4,Microsoft,Konsolen,neu
2025-01-06 18:10:46,Microsoft Xbox Series S - 512GB weiß,257.84,Microsoft,Konsolen,gut
